TP,OPP,DTS,PNL Long,PNL Short,PNL Totale,Max Drawdown,Win Rate %
40.0,10.0,10.0,-221.5,-265.5,-487.0,916.0,30.0
40.0,10.0,20.0,-236.5,-282.5,-519.0,948.0,30.0
40.0,10.0,30.0,-251.5,-299.5,-551.0,980.0,30.0
40.0,10.0,40.0,-266.5,-316.5,-583.0,1012.0,20.0
60.0,15.0,10.0,255.5,156.0,411.5,355.0,80.0
60.0,15.0,20.0,233.5,182.75,416.25,360.0,90.0
60.0,15.0,30.0,213.75,177.75,391.5,384.75,80.0
60.0,15.0,40.0,191.75,172.75,364.5,411.75,70.0
80.0,20.0,10.0,263.0,24.5,287.5,496.5,80.0
80.0,20.0,20.0,253.0,11.0,264.0,520.0,80.0
80.0,20.0,30.0,253.0,-2.5,250.5,543.5,80.0
80.0,20.0,40.0,243.0,-16.0,227.0,567.0,80.0
100.0,25.0,10.0,356.5,168.0,524.5,666.75,70.0
100.0,25.0,20.0,338.0,201.75,539.75,677.75,70.0
100.0,25.0,30.0,319.5,188.25,507.75,709.75,70.0
100.0,25.0,40.0,301.0,174.75,475.75,741.75,70.0
120.0,30.0,10.0,516.0,106.5,622.5,685.5,90.0
120.0,30.0,20.0,502.5,79.5,582.0,726.0,80.0
120.0,30.0,30.0,489.0,72.0,561.0,762.0,80.0
120.0,30.0,40.0,475.5,126.5,602.0,736.0,80.0
140.0,35.0,10.0,79.75,69.0,148.75,701.75,70.0
140.0,35.0,20.0,124.0,47.0,171.0,697.0,70.0
140.0,35.0,30.0,197.5,25.0,222.5,682.25,70.0
140.0,35.0,40.0,184.0,3.0,187.0,717.75,70.0
160.0,40.0,10.0,-31.5,-11.0,-42.5,830.5,80.0
160.0,40.0,20.0,-51.0,86.0,35.0,793.0,80.0
160.0,40.0,30.0,-76.5,76.0,-0.5,828.5,80.0
160.0,40.0,40.0,-102.0,66.0,-36.0,864.0,80.0
180.0,45.0,10.0,-137.75,87.25,-50.5,1009.0,70.0
180.0,45.0,20.0,64.25,155.5,219.75,896.25,80.0
180.0,45.0,30.0,45.75,145.5,191.25,924.75,80.0
180.0,45.0,40.0,27.25,135.5,162.75,953.25,80.0
200.0,50.0,10.0,-71.0,-104.5,-175.5,1155.5,70.0
200.0,50.0,20.0,-94.5,-131.5,-226.0,1206.0,70.0
200.0,50.0,30.0,-118.0,-158.5,-276.5,1256.5,70.0
200.0,50.0,40.0,-141.5,-167.0,-308.5,1288.5,70.0
40.0,10.0,10.0,-269.0,-234.0,-503.0,925.5,30.0
40.0,10.0,20.0,-277.5,-249.0,-526.5,949.0,30.0
40.0,10.0,30.0,-286.0,-193.0,-479.0,912.5,30.0
40.0,10.0,40.0,-294.5,-198.0,-492.5,926.0,30.0
60.0,15.0,10.0,84.25,1.5,85.75,445.25,70.0
60.0,15.0,20.0,65.75,-13.5,52.25,478.75,70.0
60.0,15.0,30.0,47.25,-28.5,18.75,512.25,70.0
60.0,15.0,40.0,28.75,7.25,36.0,503.25,70.0
80.0,20.0,10.0,24.5,175.0,199.5,586.5,60.0
80.0,20.0,20.0,-4.0,148.0,144.0,642.0,50.0
80.0,20.0,30.0,-32.5,121.0,88.5,697.5,50.0
80.0,20.0,40.0,7.0,94.0,101.0,702.0,60.0
100.0,25.0,10.0,212.5,169.0,381.5,757.25,60.0
100.0,25.0,20.0,253.75,140.5,394.25,764.5,60.0
100.0,25.0,30.0,257.0,180.0,437.0,754.25,70.0
100.0,25.0,40.0,238.5,160.0,398.5,792.75,70.0
120.0,30.0,10.0,402.5,98.0,500.5,864.5,70.0
120.0,30.0,20.0,449.0,74.5,523.5,865.5,70.0
120.0,30.0,30.0,514.5,51.0,565.5,862.5,80.0
120.0,30.0,40.0,496.0,27.5,523.5,904.5,70.0
140.0,35.0,10.0,352.5,27.25,379.75,715.75,70.0
140.0,35.0,20.0,334.0,3.75,337.75,757.75,70.0
140.0,35.0,30.0,315.5,91.5,407.0,734.0,70.0
140.0,35.0,40.0,300.5,69.5,370.0,771.0,70.0
160.0,40.0,10.0,155.5,-81.5,74.0,818.0,70.0
160.0,40.0,20.0,137.0,-105.0,32.0,860.0,70.0
160.0,40.0,30.0,118.5,-128.5,-10.0,902.0,70.0
160.0,40.0,40.0,100.0,-50.0,50.0,862.0,70.0
180.0,45.0,10.0,65.25,76.0,141.25,909.5,80.0
180.0,45.0,20.0,163.0,57.5,220.5,875.25,80.0
180.0,45.0,30.0,236.25,39.0,275.25,843.0,80.0
180.0,45.0,40.0,229.5,20.5,250.0,868.25,80.0
200.0,50.0,10.0,100.5,50.5,151.0,1064.0,90.0
200.0,50.0,20.0,175.5,31.0,206.5,1041.0,90.0
200.0,50.0,30.0,299.5,4.0,303.5,994.0,90.0
200.0,50.0,40.0,286.0,-23.0,263.0,1034.5,80.0
40.0,10.0,10.0,-178.0,-171.0,-349.0,754.5,30.0
