TP,OPP,DTS,PNL Long,PNL Short,PNL Totale,Max Drawdown,Win Rate %,Median_CSV
40.0,10.0,10.0,-203.2,-28.8,-232.0,834.4,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908515_0\..\salvataggi\csv_mediani\Mediano_TP40_DTS10.csv
40.0,10.0,15.0,-171.6,-32.8,-204.4,820.4,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908515_0\..\salvataggi\csv_mediani\Mediano_TP40_DTS15.csv
40.0,10.0,20.0,-178.4,-36.8,-215.2,831.2,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908515_0\..\salvataggi\csv_mediani\Mediano_TP40_DTS20.csv
40.0,10.0,25.0,-185.2,-40.8,-226.0,842.0,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908515_0\..\salvataggi\csv_mediani\Mediano_TP40_DTS25.csv
40.0,10.0,30.0,-192.0,-44.8,-236.8,852.8,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908515_0\..\salvataggi\csv_mediani\Mediano_TP40_DTS30.csv
40.0,10.0,35.0,-198.8,-48.8,-247.6,863.6,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908515_0\..\salvataggi\csv_mediani\Mediano_TP40_DTS35.csv
40.0,10.0,40.0,-205.6,-52.8,-258.4,874.4,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908515_0\..\salvataggi\csv_mediani\Mediano_TP40_DTS40.csv
60.0,15.0,10.0,-54.8,144.8,90.0,698.4,50.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908610_0\..\salvataggi\csv_mediani\Mediano_TP60_DTS10.csv
60.0,15.0,15.0,-70.8,117.6,46.8,741.6,50.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908610_0\..\salvataggi\csv_mediani\Mediano_TP60_DTS15.csv
60.0,15.0,20.0,-86.8,90.4,3.6,784.8,50.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908610_0\..\salvataggi\csv_mediani\Mediano_TP60_DTS20.csv
60.0,15.0,25.0,-33.6,134.4,100.8,714.0,60.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908592_4\..\salvataggi\csv_mediani\Mediano_TP60_DTS25.csv
60.0,15.0,30.0,-50.4,192.0,141.6,686.4,60.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908592_4\..\salvataggi\csv_mediani\Mediano_TP60_DTS30.csv
60.0,15.0,35.0,12.0,263.2,275.2,579.2,70.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908592_4\..\salvataggi\csv_mediani\Mediano_TP60_DTS35.csv
60.0,15.0,40.0,1.2,256.4,257.6,596.8,70.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908592_4\..\salvataggi\csv_mediani\Mediano_TP60_DTS40.csv
80.0,20.0,10.0,268.0,209.6,477.6,887.2,60.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908515_0\..\salvataggi\csv_mediani\Mediano_TP80_DTS10.csv
80.0,20.0,15.0,247.6,193.6,441.2,923.6,60.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908515_0\..\salvataggi\csv_mediani\Mediano_TP80_DTS15.csv
80.0,20.0,20.0,227.2,259.2,486.4,896.0,70.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908515_0\..\salvataggi\csv_mediani\Mediano_TP80_DTS20.csv
80.0,20.0,25.0,206.8,263.2,470.0,928.4,70.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908515_0\..\salvataggi\csv_mediani\Mediano_TP80_DTS25.csv
80.0,20.0,30.0,186.4,340.8,527.2,888.8,70.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787120908636_1\..\salvataggi\csv_mediani\Mediano_TP80_DTS30.csv
