TP,OPP,DTS,PNL Long,PNL Short,PNL Totale,Max Drawdown,Win Rate %
40.0,10.0,10.0,-30.5,-40.7,-71.2,487.4,50.0
40.0,10.0,20.0,-21.1,-59.7,-80.8,518.1,50.0
40.0,10.0,30.0,-36.7,-104.9,-141.6,578.9,30.0
40.0,10.0,40.0,-52.0,-150.3,-202.3,639.6,30.0
60.0,15.0,10.0,27.1,-72.4,-45.3,663.0,30.0
60.0,15.0,20.0,-9.7,-119.6,-129.3,754.7,30.0
60.0,15.0,30.0,-46.0,-166.1,-212.1,837.5,30.0
60.0,15.0,40.0,-82.8,-213.4,-296.2,921.6,30.0
80.0,20.0,10.0,6.6,14.5,21.1,824.2,40.0
80.0,20.0,20.0,-28.2,-10.0,-38.2,904.1,40.0
80.0,20.0,30.0,-52.1,-44.2,-96.3,972.5,40.0
80.0,20.0,40.0,-86.9,-79.0,-165.9,1042.1,40.0
100.0,25.0,10.0,155.8,-27.7,128.1,1053.0,60.0
100.0,25.0,20.0,138.0,-61.9,76.1,1117.8,60.0
100.0,25.0,30.0,119.6,-100.3,19.3,1187.4,60.0
100.0,25.0,40.0,162.6,-138.1,24.5,1195.2,50.0
120.0,30.0,10.0,118.2,-187.5,-69.3,1360.0,40.0
120.0,30.0,20.0,140.2,-218.1,-77.9,1405.6,40.0
120.0,30.0,30.0,100.2,-249.3,-149.1,1492.2,40.0
120.0,30.0,40.0,60.9,-279.9,-219.0,1562.1,30.0
140.0,35.0,10.0,-156.7,-86.9,-243.6,1760.9,30.0
140.0,35.0,20.0,-200.1,-126.8,-326.9,1844.2,30.0
140.0,35.0,30.0,-243.2,-166.2,-409.4,1926.7,30.0
140.0,35.0,40.0,-286.6,-115.2,-401.8,1939.0,40.0
160.0,40.0,10.0,-709.0,-1203.9,-1912.9,3475.0,30.0
160.0,40.0,20.0,-735.0,-1249.0,-1984.0,3566.7,30.0
160.0,40.0,30.0,-730.1,-1181.3,-1911.4,3543.6,40.0
160.0,40.0,40.0,-759.6,-1221.2,-1980.8,3613.0,30.0
180.0,45.0,10.0,-1224.6,-1950.3,-3174.9,4835.6,20.0
180.0,45.0,20.0,-1262.4,-1983.0,-3245.4,4906.1,20.0
180.0,45.0,30.0,-1300.8,-2016.2,-3317.0,4977.7,20.0
180.0,45.0,40.0,-1231.7,-1933.1,-3164.8,4876.7,20.0
200.0,50.0,10.0,-1212.4,-1835.0,-3047.4,4844.5,20.0
200.0,50.0,20.0,-1232.8,-1768.9,-3001.7,4827.2,30.0
200.0,50.0,30.0,-1238.5,-1791.7,-3030.2,4855.7,30.0
200.0,50.0,40.0,-1262.5,-1814.2,-3076.7,4902.2,20.0
40.0,10.0,10.0,28.2,26.2,54.4,481.3,50.0
40.0,10.0,20.0,-6.1,-3.6,-9.7,550.5,40.0
40.0,10.0,30.0,-40.8,-40.1,-80.9,626.8,30.0
40.0,10.0,40.0,-75.1,-76.7,-151.8,697.7,30.0
60.0,15.0,10.0,-47.4,69.1,21.7,693.7,50.0
60.0,15.0,20.0,-77.0,25.5,-51.5,774.6,30.0
60.0,15.0,30.0,-106.1,-17.4,-123.5,846.6,30.0
60.0,15.0,40.0,-135.7,-61.0,-196.7,919.8,30.0
80.0,20.0,10.0,188.9,70.8,259.7,819.7,60.0
80.0,20.0,20.0,169.1,88.7,257.8,831.1,50.0
80.0,20.0,30.0,140.0,59.6,199.6,889.3,50.0
80.0,20.0,40.0,110.4,30.0,140.4,948.5,50.0
100.0,25.0,10.0,93.2,28.1,121.3,1082.1,80.0
100.0,25.0,20.0,64.0,2.6,66.6,1136.8,70.0
100.0,25.0,30.0,34.4,-23.4,11.0,1192.4,50.0
100.0,25.0,40.0,5.3,-48.9,-43.6,1247.0,50.0
120.0,30.0,10.0,54.5,43.4,97.9,1402.6,50.0
120.0,30.0,20.0,11.6,12.8,24.4,1476.1,50.0
120.0,30.0,30.0,-32.0,-18.4,-50.4,1550.9,50.0
120.0,30.0,40.0,-74.9,-49.0,-123.9,1624.4,50.0
140.0,35.0,10.0,-338.1,-403.8,-741.9,2298.3,30.0
