TP,OPP,DTS,PNL Long,PNL Short,PNL Totale,Max Drawdown,Win Rate %,Median_CSV
40.0,10.0,10.0,-23.0,-21.9,-44.9,283.3,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992317_1\..\salvataggi\csv_mediani\Mediano_TP40_DTS10.csv
40.0,10.0,20.0,-42.7,-44.9,-87.6,329.0,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992317_1\..\salvataggi\csv_mediani\Mediano_TP40_DTS20.csv
40.0,10.0,30.0,-62.6,-69.2,-131.8,373.2,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992317_1\..\salvataggi\csv_mediani\Mediano_TP40_DTS30.csv
40.0,10.0,40.0,-52.2,-93.2,-145.4,390.7,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992317_1\..\salvataggi\csv_mediani\Mediano_TP40_DTS40.csv
60.0,15.0,10.0,23.5,-17.8,5.7,398.8,50.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992435_4\..\salvataggi\csv_mediani\Mediano_TP60_DTS10.csv
60.0,15.0,20.0,3.3,-35.7,-32.4,445.9,50.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992317_1\..\salvataggi\csv_mediani\Mediano_TP60_DTS20.csv
60.0,15.0,30.0,-18.0,-59.1,-77.1,495.1,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992435_4\..\salvataggi\csv_mediani\Mediano_TP60_DTS30.csv
60.0,15.0,40.0,-38.2,-81.5,-119.7,537.7,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992435_4\..\salvataggi\csv_mediani\Mediano_TP60_DTS40.csv
80.0,20.0,10.0,-77.7,-103.1,-180.8,554.7,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992317_1\..\salvataggi\csv_mediani\Mediano_TP80_DTS10.csv
80.0,20.0,20.0,-96.3,-125.9,-222.2,596.1,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992317_1\..\salvataggi\csv_mediani\Mediano_TP80_DTS20.csv
80.0,20.0,30.0,-114.9,-148.9,-263.8,637.7,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992238_0\..\salvataggi\csv_mediani\Mediano_TP80_DTS30.csv
80.0,20.0,40.0,-132.9,-166.5,-299.4,679.3,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992238_0\..\salvataggi\csv_mediani\Mediano_TP80_DTS40.csv
100.0,25.0,10.0,-58.3,23.1,-35.2,658.5,50.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992475_0\..\salvataggi\csv_mediani\Mediano_TP100_DTS10.csv
100.0,25.0,20.0,-82.1,-0.7,-82.8,713.7,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992475_0\..\salvataggi\csv_mediani\Mediano_TP100_DTS20.csv
100.0,25.0,30.0,-106.0,-24.6,-130.6,761.5,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992475_0\..\salvataggi\csv_mediani\Mediano_TP100_DTS30.csv
100.0,25.0,40.0,-129.8,-48.4,-178.2,809.1,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992475_0\..\salvataggi\csv_mediani\Mediano_TP100_DTS40.csv
120.0,30.0,10.0,-53.1,16.0,-37.1,819.2,50.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992516_1\..\salvataggi\csv_mediani\Mediano_TP120_DTS10.csv
120.0,30.0,20.0,-74.1,-12.2,-86.3,877.5,50.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992516_1\..\salvataggi\csv_mediani\Mediano_TP120_DTS20.csv
120.0,30.0,30.0,-95.8,-41.4,-137.2,928.4,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992516_1\..\salvataggi\csv_mediani\Mediano_TP120_DTS30.csv
120.0,30.0,40.0,-117.5,-70.4,-187.9,979.1,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992516_1\..\salvataggi\csv_mediani\Mediano_TP120_DTS40.csv
140.0,35.0,10.0,-360.7,63.6,-297.1,1182.4,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787329992475_0\..\salvataggi\csv_mediani\Mediano_TP140_DTS10.csv
