TP,OPP,DTS,PNL Long,PNL Short,PNL Totale,Max Drawdown,Win Rate %,Median_CSV
60.0,15.0,20.0,1.4,-28.1,-26.7,429.6,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736170_0\..\salvataggi\csv_mediani\Mediano_TP60_DTS20.csv
60.0,15.0,30.0,9.9,-49.4,-39.5,447.5,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736170_0\..\salvataggi\csv_mediani\Mediano_TP60_DTS30.csv
60.0,15.0,40.0,-5.1,-69.6,-74.7,482.7,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736170_0\..\salvataggi\csv_mediani\Mediano_TP60_DTS40.csv
80.0,20.0,20.0,-58.4,9.7,-48.7,577.5,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736170_0\..\salvataggi\csv_mediani\Mediano_TP80_DTS20.csv
80.0,20.0,30.0,-48.2,15.9,-32.3,574.1,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736170_0\..\salvataggi\csv_mediani\Mediano_TP80_DTS30.csv
80.0,20.0,40.0,-70.6,30.8,-39.8,587.8,50.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736170_0\..\salvataggi\csv_mediani\Mediano_TP80_DTS40.csv
100.0,25.0,20.0,-17.2,-35.6,-52.8,758.5,50.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736003_0\..\salvataggi\csv_mediani\Mediano_TP100_DTS20.csv
100.0,25.0,30.0,-46.4,-63.5,-109.9,823.2,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736003_0\..\salvataggi\csv_mediani\Mediano_TP100_DTS30.csv
100.0,25.0,40.0,-76.2,-94.6,-170.8,891.7,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736003_0\..\salvataggi\csv_mediani\Mediano_TP100_DTS40.csv
120.0,30.0,20.0,-90.6,74.5,-16.1,865.1,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736328_4\..\salvataggi\csv_mediani\Mediano_TP120_DTS20.csv
120.0,30.0,30.0,-76.4,48.4,-28.0,896.0,50.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736328_4\..\salvataggi\csv_mediani\Mediano_TP120_DTS30.csv
120.0,30.0,40.0,-105.4,22.5,-82.9,950.9,40.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736328_4\..\salvataggi\csv_mediani\Mediano_TP120_DTS40.csv
140.0,35.0,20.0,-260.1,-196.1,-456.2,1343.2,20.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736214_1\..\salvataggi\csv_mediani\Mediano_TP140_DTS20.csv
140.0,35.0,30.0,-293.1,-223.8,-516.9,1403.9,20.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736214_1\..\salvataggi\csv_mediani\Mediano_TP140_DTS30.csv
140.0,35.0,40.0,-324.5,-250.0,-574.5,1461.5,20.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736214_1\..\salvataggi\csv_mediani\Mediano_TP140_DTS40.csv
160.0,40.0,20.0,-586.2,-720.4,-1306.6,2360.1,20.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736049_1\..\salvataggi\csv_mediani\Mediano_TP160_DTS20.csv
160.0,40.0,30.0,-610.1,-744.3,-1354.4,2407.9,20.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736049_1\..\salvataggi\csv_mediani\Mediano_TP160_DTS30.csv
160.0,40.0,40.0,-633.9,-768.1,-1402.0,2455.5,20.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736049_1\..\salvataggi\csv_mediani\Mediano_TP160_DTS40.csv
180.0,45.0,20.0,-1062.5,-855.6,-1918.1,3061.0,20.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736142_4\..\salvataggi\csv_mediani\Mediano_TP180_DTS20.csv
180.0,45.0,30.0,-1078.0,-873.3,-1951.3,3094.2,20.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736142_4\..\salvataggi\csv_mediani\Mediano_TP180_DTS30.csv
180.0,45.0,40.0,-1093.5,-827.6,-1921.1,3083.3,30.0,C:\Users\Fiordok\Desktop\Macchinetta_IG\Simulatore\BATCH_OTT_1787330736142_4\..\salvataggi\csv_mediani\Mediano_TP180_DTS40.csv
60.0,15.0,20.0,-68.5,41.4,-27.1,468.7,30.0,
60.0,15.0,30.0,-73.1,18.5,-54.6,505.4,30.0,
60.0,15.0,40.0,-105.5,25.9,-79.6,535.5,40.0,
80.0,20.0,20.0,-97.8,-34.4,-132.2,655.3,40.0,
80.0,20.0,30.0,-87.4,-22.9,-110.3,646.4,40.0,
80.0,20.0,40.0,-107.6,-40.1,-147.7,683.8,30.0,
100.0,25.0,20.0,-76.0,41.6,-34.4,748.6,40.0,
100.0,25.0,30.0,-105.2,21.2,-84.0,809.7,40.0,
100.0,25.0,40.0,-89.7,-2.6,-92.3,826.6,50.0,
120.0,30.0,20.0,-207.3,122.0,-85.3,940.2,50.0,
120.0,30.0,30.0,-229.0,103.4,-125.6,980.5,50.0,
120.0,30.0,40.0,-241.6,93.9,-147.7,1020.8,60.0,
140.0,35.0,20.0,-542.7,-172.0,-714.7,1592.7,30.0,
140.0,35.0,30.0,-554.5,-191.2,-745.7,1634.3,30.0,
140.0,35.0,40.0,-575.5,-209.2,-784.7,1673.3,30.0,
160.0,40.0,20.0,-1057.2,-451.3,-1508.5,2386.8,30.0,
160.0,40.0,30.0,-1074.9,-469.9,-1544.8,2423.1,30.0,
160.0,40.0,40.0,-1092.5,-488.5,-1581.0,2459.3,30.0,
180.0,45.0,20.0,-666.9,-1116.8,-1783.7,2806.6,30.0,
180.0,45.0,30.0,-679.3,-1126.1,-1805.4,2828.3,30.0,
180.0,45.0,40.0,-691.7,-1066.8,-1758.5,2796.6,40.0,
60.0,15.0,20.0,-54.3,11.6,-42.7,388.4,50.0,
60.0,15.0,30.0,-22.3,2.0,-20.3,382.0,50.0,
60.0,15.0,40.0,-38.7,-7.0,-45.7,407.4,40.0,
80.0,20.0,20.0,-54.4,33.0,-21.4,511.9,40.0,
80.0,20.0,30.0,-76.3,15.3,-61.0,563.5,30.0,
80.0,20.0,40.0,-99.5,-1.9,-101.4,609.9,30.0,
100.0,25.0,20.0,-95.6,40.2,-55.4,698.2,30.0,
100.0,25.0,30.0,-117.3,11.9,-105.4,748.2,30.0,
100.0,25.0,40.0,-139.0,-16.1,-155.1,797.9,30.0,
