id,open,high,low,close
1,4500,4544,4490,4517
2,4517,4520,4492,4496
3,4497,4507,4486,4493
4,4494,4502,4490,4494
5,4494,4513,4491,4508
6,4507,4511,4498,4507
7,4507,4517,4494,4498
8,4497,4508,4490,4501
9,4501,4505,4490,4492
10,4491,4497,4485,4493
11,4493,4512,4482,4502
12,4503,4513,4493,4496
13,4496,4500,4484,4487
14,4487,4499,4480,4491
15,4490,4498,4470,4475
16,4476,4488,4473,4479
17,4479,4483,4463,4473
18,4474,4484,4465,4481
19,4480,4498,4474,4494
20,4495,4502,4485,4491
21,4490,4502,4478,4486
22,4486,4501,4476,4497
23,4496,4505,4484,4495
24,4495,4508,4485,4501
25,4501,4513,4485,4495
26,4494,4502,4460,4480
27,4479,4521,4471,4481
28,4482,4494,4477,4489
29,4489,4498,4479,4483
30,4483,4504,4479,4499
31,4499,4518,4492,4509
32,4510,4517,4503,4514
33,4514,4517,4507,4510
34,4510,4517,4502,4513
35,4512,4517,4499,4507
36,4506,4517,4495,4508
37,4507,4513,4492,4502
38,4502,4511,4479,4491
39,4491,4502,4481,4486
40,4485,4493,4471,4482
41,4483,4495,4480,4484
42,4483,4488,4472,4481
43,4480,4487,4468,4480
44,4479,4488,4468,4484
45,4484,4495,4482,4485
46,4486,4496,4475,4488
47,4488,4498,4437,4485
48,4485,4500,4480,4497
49,4496,4505,4485,4499
50,4500,4518,4496,4512
51,4511,4517,4482,4509
52,4509,4525,4483,4503
53,4502,4515,4495,4512
54,4512,4520,4501,4513
55,4512,4516,4487,4499
56,4498,4510,4495,4500
57,4499,4511,4473,4481
58,4481,4485,4465,4468
59,4468,4482,4464,4472
60,4471,4474,4428,4447
61,4448,4450,4425,4435
62,4436,4441,4421,4429
63,4429,4440,4421,4432
64,4432,4444,4429,4436
65,4437,4439,4423,4433
66,4434,4478,4424,4434
67,4433,4444,4421,4427
68,4427,4434,4423,4426
69,4427,4438,4421,4430
70,4431,4443,4428,4433
71,4433,4439,4427,4434
72,4434,4438,4424,4428
73,4429,4431,4408,4417
74,4416,4433,4409,4424
75,4425,4432,4400,4410
76,4411,4422,4401,4409
77,4409,4419,4400,4408
78,4408,4413,4406,4410
79,4411,4423,4405,4417
80,4418,4424,4408,4413
81,4413,4417,4397,4409
82,4409,4421,4403,4409
83,4410,4417,4401,4403
84,4404,4412,4394,4404
85,4405,4413,4393,4407
86,4407,4431,4385,4411
87,4411,4418,4399,4416
88,4417,4429,4409,4421
89,4422,4428,4406,4417
90,4417,4434,4414,4425
91,4426,4437,4417,4425
92,4425,4429,4408,4415
93,4415,4417,4410,4414
94,4414,4436,4404,4425
95,4425,4429,4420,4426
96,4426,4432,4414,4422
97,4422,4437,4393,4417
98,4416,4419,4407,4411
99,4411,4422,4405,4412
100,4412,4420,4390,4398
101,4398,4412,4390,4406
102,4406,4416,4399,4409
103,4409,4424,4397,4419
104,4419,4430,4411,4413
105,4413,4430,4402,4419
106,4420,4427,4409,4423
107,4423,4429,4415,4425
108,4426,4434,4418,4427
109,4427,4439,4421,4432
110,4433,4462,4425,4457
111,4457,4471,4450,4468
112,4468,4474,4465,4468
113,4469,4514,4465,4472
114,4472,4486,4468,4483
115,4484,4489,4474,4480
116,4479,4507,4470,4500
117,4500,4512,4493,4500
118,4499,4510,4490,4504
119,4505,4521,4495,4510
120,4510,4519,4500,4515
121,4515,4523,4497,4509
122,4509,4518,4496,4506
123,4505,4548,4497,4523
124,4522,4529,4514,4516
125,4516,4522,4497,4507
126,4507,4513,4493,4505
127,4504,4512,4486,4497
128,4497,4506,4489,4500
129,4500,4509,4489,4497
130,4496,4505,4489,4499
131,4499,4509,4492,4506
132,4506,4514,4494,4508
133,4508,4525,4497,4514
134,4515,4521,4507,4519
135,4519,4531,4501,4510
136,4511,4519,4498,4508
137,4507,4518,4500,4509
138,4509,4514,4501,4508
139,4507,4522,4497,4516
140,4517,4530,4512,4527
141,4527,4536,4517,4531
142,4531,4534,4483,4524
143,4524,4537,4516,4526
144,4527,4539,4509,4513
145,4513,4525,4500,4510
146,4510,4523,4505,4521
147,4520,4530,4510,4521
148,4520,4541,4510,4538
149,4537,4540,4528,4537
150,4536,4540,4529,4533
151,4533,4545,4531,4538
152,4537,4540,4526,4533
153,4533,4540,4517,4528
154,4528,4541,4526,4532
155,4532,4540,4525,4536
156,4537,4547,4517,4525
157,4525,4566,4509,4516
158,4516,4525,4502,4514
159,4514,4528,4507,4516
160,4517,4524,4495,4503
161,4503,4508,4464,4481
162,4481,4487,4455,4475
163,4474,4483,4466,4479
164,4479,4488,4465,4474
165,4475,4480,4470,4476
166,4476,4488,4472,4478
167,4478,4481,4473,4478
168,4479,4490,4471,4481
169,4481,4487,4474,4480
170,4480,4488,4469,4476
171,4475,4478,4454,4463
172,4464,4473,4450,4458
173,4459,4470,4450,4454
174,4454,4479,4452,4467
175,4467,4472,4451,4453
176,4454,4475,4431,4458
177,4458,4469,4447,4458
178,4458,4464,4443,4453
179,4453,4457,4430,4438
180,4437,4448,4424,4436
181,4436,4444,4426,4438
182,4438,4442,4428,4431
183,4431,4443,4418,4425
184,4424,4430,4413,4418
185,4419,4426,4408,4420
186,4419,4429,4397,4402
187,4403,4406,4375,4385
188,4386,4392,4379,4389
189,4390,4396,4375,4385
190,4385,4389,4368,4375
191,4376,4400,4371,4393
192,4392,4409,4388,4400
193,4400,4403,4397,4400
194,4401,4407,4398,4402
195,4402,4409,4388,4391
196,4390,4394,4381,4388
197,4388,4396,4383,4394
198,4394,4404,4384,4390
199,4389,4394,4386,4390
200,4390,4408,4381,4399
201,4399,4411,4388,4407
202,4406,4422,4398,4414
203,4415,4430,4405,4428
204,4427,4429,4413,4421
205,4422,4434,4416,4423
206,4423,4430,4404,4412
207,4413,4419,4411,4415
208,4415,4429,4408,4426
209,4426,4430,4419,4425
210,4425,4429,4414,4425
211,4424,4443,4416,4439
212,4439,4464,4433,4445
213,4445,4456,4422,4432
214,4433,4441,4428,4435
215,4435,4440,4411,4422
216,4421,4433,4393,4428
217,4427,4455,4413,4430
218,4430,4436,4410,4415
219,4415,4424,4407,4417
220,4418,4420,4408,4417
221,4416,4436,4404,4430
222,4430,4444,4398,4421
223,4421,4425,4415,4419
224,4420,4429,4408,4420
225,4420,4433,4376,4409
226,4409,4415,4398,4401
227,4401,4427,4356,4396
228,4396,4451,4385,4401
229,4402,4410,4398,4406
230,4406,4409,4387,4393
231,4392,4438,4381,4416
232,4415,4426,4357,4386
233,4386,4397,4377,4385
234,4385,4393,4380,4383
235,4383,4388,4354,4363
236,4363,4365,4348,4358
237,4357,4364,4342,4347
238,4347,4352,4331,4340
239,4341,4343,4307,4312
240,4312,4328,4308,4320
241,4319,4323,4311,4318
242,4318,4332,4310,4322
243,4321,4331,4317,4322
244,4321,4363,4312,4340
245,4341,4354,4338,4350
246,4350,4365,4341,4361
247,4360,4368,4352,4356
248,4357,4379,4349,4370
249,4370,4374,4334,4364
250,4365,4374,4358,4368
251,4368,4377,4351,4354
252,4353,4365,4345,4355
253,4356,4366,4347,4356
254,4356,4363,4354,4358
255,4358,4368,4331,4343
256,4342,4347,4325,4328
257,4329,4373,4326,4355
258,4356,4362,4326,4335
259,4335,4350,4323,4339
260,4339,4342,4336,4340
261,4340,4353,4329,4345
262,4345,4354,4334,4346
263,4347,4354,4337,4348
264,4348,4369,4339,4357
265,4357,4363,4354,4361
266,4361,4372,4356,4369
267,4369,4387,4363,4381
