TP,OPP,DTS,PNL Long,PNL Short,PNL Totale,Max Drawdown,Win Rate %
0.4,0.1,0.1,146.5,64.0,210.5,307.0,70.0
0.4,0.1,0.15,165.25,72.75,238.0,290.5,70.0
0.4,0.1,0.2,158.5,57.5,216.0,312.5,70.0
0.4,0.1,0.25,151.75,82.0,233.75,307.25,70.0
0.4,0.1,0.3,145.0,71.0,216.0,325.0,70.0
0.5,0.125,0.1,106.75,110.88,217.62,359.25,80.0
0.5,0.125,0.15,93.25,101.62,194.88,382.0,80.0
0.5,0.125,0.2,79.75,93.5,173.25,403.62,80.0
0.5,0.125,0.25,66.25,82.5,148.75,428.12,60.0
0.5,0.125,0.3,52.75,71.5,124.25,452.62,60.0
0.6,0.15,0.1,231.0,147.75,378.75,421.5,70.0
0.6,0.15,0.15,217.5,140.25,357.75,442.5,70.0
0.6,0.15,0.2,204.0,132.75,336.75,463.5,70.0
0.6,0.15,0.25,190.5,125.25,315.75,484.5,70.0
0.6,0.15,0.3,183.75,125.25,309.0,506.25,70.0
0.7,0.175,0.1,52.62,73.62,126.25,412.75,70.0
0.7,0.175,0.15,47.88,64.5,112.38,435.38,70.0
0.7,0.175,0.2,34.38,61.5,95.88,460.62,70.0
0.7,0.175,0.25,20.88,49.75,70.62,485.88,70.0
0.7,0.175,0.3,7.38,38.0,45.38,511.12,70.0
0.7999999999999999,0.1999999999999999,0.1,-2.5,14.0,11.5,464.5,70.0
0.7999999999999999,0.1999999999999999,0.15,-14.25,0.5,-13.75,489.75,70.0
0.7999999999999999,0.1999999999999999,0.2,-26.0,-13.0,-39.0,515.0,70.0
0.7999999999999999,0.1999999999999999,0.25,-37.75,-26.5,-64.25,540.25,70.0
0.7999999999999999,0.1999999999999999,0.3,-49.5,-40.0,-89.5,565.5,70.0
0.8999999999999999,0.2249999999999999,0.1,39.0,-22.38,16.62,558.25,70.0
0.8999999999999999,0.2249999999999999,0.15,72.38,-34.12,38.25,547.88,70.0
0.8999999999999999,0.2249999999999999,0.2,62.38,-45.88,16.5,569.62,70.0
0.8999999999999999,0.2249999999999999,0.25,52.38,-57.62,-5.25,591.38,70.0
0.8999999999999999,0.2249999999999999,0.3,42.38,-69.38,-27.0,613.12,70.0
1.0,0.2499999999999999,0.1,106.25,-43.75,62.5,588.75,80.0
1.0,0.2499999999999999,0.15,96.25,-53.75,42.5,608.75,80.0
1.0,0.2499999999999999,0.2,86.25,6.75,93.0,578.25,80.0
1.0,0.2499999999999999,0.25,80.0,57.5,137.5,557.5,90.0
1.0,0.2499999999999999,0.3,68.25,52.5,120.75,574.25,90.0
1.1,0.2749999999999999,0.1,22.62,-135.0,-112.38,696.75,70.0
1.1,0.2749999999999999,0.15,12.62,-134.88,-122.25,706.62,70.0
1.1,0.2749999999999999,0.2,2.62,-149.12,-146.5,730.88,70.0
1.1,0.2749999999999999,0.25,-2.38,-163.38,-165.75,750.12,70.0
1.1,0.2749999999999999,0.3,-14.12,-170.25,-184.38,768.75,70.0
1.1999999999999995,0.2999999999999999,0.1,-16.5,-246.0,-262.5,825.0,50.0
1.1999999999999995,0.2999999999999999,0.15,-30.75,-260.25,-291.0,853.5,50.0
1.1999999999999995,0.2999999999999999,0.2,-45.0,-274.5,-319.5,882.0,50.0
1.1999999999999995,0.2999999999999999,0.25,-59.25,-288.75,-348.0,910.5,50.0
1.1999999999999995,0.2999999999999999,0.3,-69.0,-303.0,-372.0,934.5,50.0
1.2999999999999998,0.3249999999999999,0.1,20.25,-158.5,-138.25,845.12,60.0
1.2999999999999998,0.3249999999999999,0.15,6.0,-161.75,-155.75,862.62,60.0
1.2999999999999998,0.3249999999999999,0.2,-8.25,-101.12,-109.38,834.12,70.0
