Data,Strumento,Fase,Profitto_EUR,DealID
2026-08-19 21:29:01,US 500 Cash,Stop Generale (Kill Switch),-1.20,LOCAL
2026-08-19 21:35:02,US 500 Cash,Stop Generale (Kill Switch),-4.60,LOCAL
2026-08-20 05:30:11,Spot Gold,Stop Loss MICRO / FLIP (Fase 1),40.64,LOCAL
2026-08-20 08:30:54,US 500 Cash,Chiusura Assicurazione (Pre-Ticket),37.14,LOCAL
2026-08-20 12:00:44,Spot Gold,Chiusura Assicurazione (Pre-Ticket),39.32,LOCAL
2026-08-20 12:01:15,US 500 Cash,Stop Loss TICKET1 (Fase 2),-40.00,LOCAL
2026-08-20 12:36:32,US 500 Cash,Stop Loss TICKET2,-43.52,LOCAL
2026-08-20 13:35:54,Spot Gold,Ping-Pong TICKET1 (Fase 2),40.00,LOCAL
2026-08-20 14:46:43,Spot Gold,Stop Loss TICKET1 (Fase 2),-40.00,LOCAL
2026-08-20 15:01:32,Spot Gold,Stop Loss TICKET2,-39.48,LOCAL
2026-08-20 15:01:50,US 500 Cash,Falso Innesco SAT1 (Rientro),-28.40,LOCAL
2026-08-20 18:51:45,Spot Gold,Stop Loss OVERLOSS,-20.00,LOCAL
2026-08-21 06:35:43,Spot Gold,TP Core [BUY] (Avvio Fase 3),116.44,LOCAL
2026-08-21 06:35:57,Spot Gold,Entrata FASE 3 (Monetizzazione vecchie Core),120.64,LOCAL
2026-08-21 07:24:13,US 500 Cash,Take Profit OVERGAIN,40.00,LOCAL
2026-08-21 12:39:57,Spot Gold,Take Profit ULTIMA,40.00,LOCAL
2026-08-21 13:54:21,US 500 Cash,Stop Loss OVERLOSS,-20.00,LOCAL
2026-08-21 17:25:10,Spot Gold,Taglio Core 35% (Fase 3),-199.22,LOCAL
2026-08-21 18:55:00,Spot Gold,Stop Generale (Kill Switch),-15.86,LOCAL
2026-08-24 00:07:34,US 500 Cash,Stop Generale (Kill Switch),-99.82,LOCAL
2026-08-24 00:27:03,USD/CAD,Stop Generale (Kill Switch),-5.21,LOCAL
2026-08-24 08:13:20,CAD/JPY,Chiusura Assicurazione (Pre-Ticket),26.35,LOCAL
2026-08-24 10:25:45,GBP/USD,Chiusura Assicurazione (Pre-Ticket),31.73,LOCAL
2026-08-24 14:17:22,CAD/JPY,Stop Loss TICKET1 (Fase 2),-32.34,LOCAL
2026-08-24 14:42:03,GBP/USD,Ping-Pong TICKET1 (Fase 2),34.27,LOCAL
2026-08-24 15:15:13,CAD/JPY,Take Profit TICKET2,32.31,LOCAL
2026-08-24 19:55:19,AUD/NZD,Take Profit MICRO (Fase 1),30.64,LOCAL
2026-08-24 20:09:12,GBP/USD,Ping-Pong TICKET1 (Fase 2),34.31,LOCAL
