TP,OPP,DTS,PNL Long,PNL Short,PNL Totale,Max Drawdown,Win Rate %
60.0,15.0,10.0,259.5,155.5,415.0,371.0,80.0
60.0,15.0,15.0,246.75,153.75,400.5,393.0,70.0
90.0,22.5,20.0,193.62,203.62,397.25,600.62,60.0
90.0,22.5,10.0,161.0,230.62,391.62,593.88,60.0
60.0,15.0,20.0,234.0,144.5,378.5,415.0,70.0
90.0,22.5,25.0,184.38,190.12,374.5,623.38,60.0
90.0,22.5,15.0,149.25,217.12,366.38,619.12,60.0
80.0,20.0,10.0,148.5,208.5,357.0,501.0,70.0
60.0,15.0,25.0,221.25,135.25,356.5,437.0,70.0
90.0,22.5,30.0,175.12,176.62,351.75,646.12,60.0
80.0,20.0,30.0,111.5,237.5,349.0,550.0,80.0
80.0,20.0,15.0,139.25,209.25,348.5,509.5,70.0
60.0,15.0,30.0,208.5,126.0,334.5,459.0,70.0
80.0,20.0,20.0,130.0,200.0,330.0,528.0,70.0
80.0,20.0,25.0,120.75,190.75,311.5,546.5,70.0
70.0,17.5,10.0,128.12,112.75,240.88,508.12,60.0
70.0,17.5,20.0,142.0,94.25,236.25,522.38,70.0
160.0,40.0,10.0,121.5,105.5,227.0,763.0,90.0
70.0,17.5,15.0,112.12,103.5,215.62,533.38,60.0
70.0,17.5,25.0,128.5,85.0,213.5,545.12,60.0
160.0,40.0,15.0,112.25,96.25,208.5,781.5,90.0
110.0,27.5,10.0,112.62,90.38,203.0,619.25,70.0
50.0,12.5,20.0,82.88,118.5,201.38,372.38,70.0
70.0,17.5,30.0,115.0,75.75,190.75,567.88,60.0
160.0,40.0,20.0,103.0,87.0,190.0,800.0,90.0
160.0,40.0,25.0,111.0,77.75,188.75,801.25,90.0
110.0,27.5,15.0,100.88,85.38,186.25,636.0,70.0
50.0,12.5,10.0,75.12,109.88,185.0,375.0,60.0
50.0,12.5,25.0,71.88,107.5,179.38,394.38,70.0
100.0,25.0,10.0,109.25,62.5,171.75,679.5,60.0
110.0,27.5,20.0,89.12,80.38,169.5,652.75,70.0
100.0,25.0,30.0,146.5,22.5,169.0,719.75,60.0
160.0,40.0,30.0,100.0,68.5,168.5,821.5,90.0
180.0,45.0,25.0,17.75,149.5,167.25,975.75,80.0
100.0,25.0,15.0,108.25,52.5,160.75,703.0,60.0
40.0,10.0,10.0,38.0,122.0,160.0,305.5,80.0
50.0,12.5,15.0,61.75,96.38,158.12,401.88,60.0
170.0,42.5,20.0,105.38,52.25,157.62,845.38,90.0
50.0,12.5,30.0,60.88,96.5,157.38,416.38,70.0
150.0,37.5,20.0,100.38,56.75,157.12,746.62,80.0
110.0,27.5,25.0,77.38,75.38,152.75,669.5,70.0
100.0,25.0,20.0,107.25,42.5,149.75,726.5,60.0
40.0,10.0,15.0,31.25,115.25,146.5,319.0,70.0
180.0,45.0,30.0,6.0,140.25,146.25,996.75,80.0
170.0,42.5,25.0,96.12,43.0,139.12,863.88,90.0
150.0,37.5,25.0,89.38,47.5,136.88,766.88,80.0
110.0,27.5,30.0,65.62,70.38,136.0,686.25,70.0
40.0,10.0,20.0,24.5,108.5,133.0,332.5,70.0
100.0,25.0,25.0,93.75,32.5,126.25,750.0,60.0
140.0,35.0,10.0,104.0,18.0,122.0,653.25,90.0
170.0,42.5,30.0,86.88,33.75,120.62,882.38,90.0
40.0,10.0,25.0,17.75,101.75,119.5,346.0,70.0
150.0,37.5,30.0,78.38,38.25,116.62,787.12,80.0
150.0,37.5,10.0,40.5,75.25,115.75,767.38,80.0
40.0,10.0,30.0,11.0,95.0,106.0,359.5,70.0
140.0,35.0,15.0,94.75,11.25,106.0,669.25,90.0
170.0,42.5,10.0,28.25,70.75,99.0,859.38,90.0
200.0,50.0,25.0,-93.75,192.5,98.75,1076.25,80.0
170.0,42.5,15.0,36.0,61.5,97.5,882.12,90.0
150.0,37.5,15.0,27.0,66.0,93.0,790.12,80.0
140.0,35.0,20.0,85.5,4.5,90.0,685.25,90.0
200.0,50.0,10.0,-40.5,121.5,81.0,1069.0,70.0
200.0,50.0,30.0,-111.5,187.5,76.0,1099.0,80.0
140.0,35.0,25.0,76.25,-2.25,74.0,701.25,80.0
120.0,30.0,10.0,60.5,3.0,63.5,667.0,80.0
140.0,35.0,30.0,67.0,-9.0,58.0,717.25,80.0
180.0,45.0,10.0,-25.25,80.0,54.75,1036.5,80.0
200.0,50.0,15.0,-58.25,112.25,54.0,1096.0,70.0
120.0,30.0,15.0,48.75,-4.5,44.25,686.25,80.0
120.0,30.0,20.0,37.0,0.5,37.5,693.0,80.0
200.0,50.0,20.0,-76.0,103.0,27.0,1123.0,70.0
180.0,45.0,15.0,-41.25,68.25,27.0,1064.25,80.0
190.0,47.5,10.0,-84.25,108.5,24.25,1080.12,80.0
120.0,30.0,25.0,25.25,-8.75,16.5,714.0,80.0
190.0,47.5,15.0,-100.25,101.0,0.75,1103.62,70.0
180.0,45.0,20.0,-57.25,56.5,-0.75,1092.0,80.0
120.0,30.0,30.0,13.5,-18.0,-4.5,735.0,70.0
190.0,47.5,20.0,-116.25,93.5,-22.75,1127.12,70.0
130.0,32.5,10.0,-26.5,-15.25,-41.75,711.25,80.0
190.0,47.5,25.0,-132.25,86.0,-46.25,1150.62,70.0
130.0,32.5,15.0,-36.5,-24.5,-61.0,730.5,80.0
190.0,47.5,30.0,-141.12,78.5,-62.62,1167.0,70.0
